11.5./25,062/27,050/24,735/475/125/119/1/
11.6./25,629/27,195/24,821/476/145/86/1/
11.7./26,217/27,284/24,910/477/89/89/1/
11.8./25,648/27,427/24,968/478/143/58/1/
11.9./25,802/27,553/25,029/480/126/61/2/
11.10./27,855/27,653/25,160/485/100/131/5/
11.11./28,688/27,799/25,266/487/146/106/2/
11.12./29,284/27,942/25,404/487/143/138/0/
11.13./30,119/28,133/25,537/488/191/133/1/
11.14./34,692/28,338/25,636/492/205/99/4/
11.15./36,378/28,546/25,691/493/208/55/1/
11.16./38,314/28,769/25,759/494/223/68/1/
11.17./41,202/28,998/25,860/494/229/101/0/
11.18./42,688/29,311/25,973/496/313/113/2/
11.19./45,525/29,654/26,098/498/343/125/2/
11.20./48,143/30,017/26,263/501/363/165/3/
11.25./55,838/31,735/26,825/513/382/103/3/
11.29./62,829/33,824/27,542/523/450/193/1/
12.28./169,878/57,680/39,268/819/808/228/11/
12.28./169,878/57,680/39,268/819/808/228/11/
